Maturity,Coupon,Bid,Asked
1/15/17,0.75,99.9844,100
1/31/17,0.5,99.9766,99.9922
1/31/17,0.875,100.0156,100.0313
1/31/17,3.125,100.1797,100.1953
2/15/17,0.625,99.9922,100.0078
2/15/17,4.625,100.4609,100.4766
2/28/17,0.5,99.9766,99.9922
2/28/17,0.875,100.0391,100.0547
2/28/17,3,100.3672,100.3828
3/15/17,0.75,100.0234,100.0391
3/31/17,0.5,99.9766,99.9922
3/31/17,1,100.0938,100.1094
3/31/17,3.25,100.625,100.6406
4/15/17,0.875,100.0703,100.0859
4/30/17,0.5,99.9688,99.9844
4/30/17,0.875,100.0938,100.1094
4/30/17,3.125,100.8047,100.8203
5/15/17,0.875,100.0859,100.1016
5/15/17,4.5,101.3984,101.4141
5/15/17,8.75,102.9219,102.9375
5/31/17,0.625,99.9922,100.0078
5/31/17,2.75,100.8516,100.8672
6/15/17,0.875,100.1016,100.1172
6/30/17,0.625,99.9766,99.9922
6/30/17,0.75,100.0391,100.0547
6/30/17,2.5,100.8906,100.9063
7/15/17,0.875,100.1016,100.1172
7/31/17,0.5,99.8828,99.8984
7/31/17,0.625,99.9609,99.9766
7/31/17,2.375,100.9453,100.9609
8/15/17,4.75,102.4375,102.4531
8/15/17,8.875,104.9453,104.9609
8/31/17,0.625,99.8984,99.9141
8/31/17,1.875,100.7109,100.7266
9/15/17,1,100.1406,100.1563
9/30/17,0.625,99.8516,99.8672
9/30/17,1.875,100.7656,100.7813
10/15/17,0.875,100.0156,100.0313
10/31/17,0.75,99.9063,99.9219
10/31/17,1.875,100.8125,100.8281
11/15/17,0.875,99.9922,100.0078
11/15/17,4.25,102.875,102.8906
11/30/17,0.625,99.7578,99.7734
11/30/17,0.875,99.9922,100.0078
11/30/17,2.25,101.2109,101.2266
12/15/17,1,100.1016,100.1172
12/31/17,0.75,99.8281,99.8438
12/31/17,1,100.0781,100.0938
12/31/17,2.75,101.7891,101.8047
1/15/18,0.875,99.9375,99.9531
1/31/18,0.75,99.7813,99.7969
1/31/18,0.875,99.9141,99.9297
1/31/18,2.625,101.7578,101.7734
2/15/18,1,100.0391,100.0547
2/15/18,3.5,102.7891,102.8047
2/28/18,0.75,99.75,99.7656
2/28/18,2.75,102.0156,102.0313
3/15/18,1,100.0469,100.0625
3/31/18,0.75,99.7031,99.7188
3/31/18,0.875,99.875,99.8906
3/31/18,2.875,102.3281,102.3438
4/15/18,0.75,99.6875,99.7031
4/30/18,0.625,99.5078,99.5234
4/30/18,0.75,99.6719,99.6875
4/30/18,2.625,102.1016,102.1172
5/15/18,1,99.9688,99.9844
5/15/18,3.875,103.8984,103.9141
5/15/18,9.125,110.9453,110.9609
5/31/18,0.875,99.8047,99.8203
5/31/18,1,99.9609,99.9766
5/31/18,2.375,101.8516,101.8672
6/15/18,1.125,100.1016,100.1172
6/30/18,0.625,99.3672,99.3828
6/30/18,1.375,100.4531,100.4688
6/30/18,2.375,101.9297,101.9453
7/15/18,0.875,99.6719,99.6875
7/31/18,0.75,99.4609,99.4766
7/31/18,1.375,100.4609,100.4766
7/31/18,2.25,101.8203,101.8359
8/15/18,1,99.8672,99.8828
8/15/18,4,104.7031,104.7188
8/31/18,0.75,99.3828,99.3984
8/31/18,1.5,100.625,100.6406
9/15/18,1,99.7813,99.7969
9/30/18,0.75,99.3281,99.3438
9/30/18,1.375,100.3828,100.3984
10/15/18,0.875,99.5156,99.5313
10/31/18,0.75,99.2813,99.2969
10/31/18,1.25,100.1563,100.1719
10/31/18,1.75,101.0625,101.0781
11/15/18,1.25,100.1484,100.1641
11/15/18,3.75,104.7578,104.7734
11/15/18,9,114.5078,114.5234
11/30/18,1,99.6719,99.6875
11/30/18,1.25,100.1406,100.1563
11/30/18,1.375,100.3594,100.375
12/15/18,1.25,100.0859,100.1016
12/31/18,1.25,100.0859,100.1016
12/31/18,1.375,100.3203,100.3359
12/31/18,1.5,100.5625,100.5781
1/15/19,1.125,99.7891,99.8047
1/31/19,1.25,100.0469,100.0625
1/31/19,1.5,100.5234,100.5391
2/15/19,0.75,98.9844,99
2/15/19,2.75,103.1328,103.1484
2/15/19,8.875,116.1875,116.2031
2/28/19,1.375,100.2813,100.2969
2/28/19,1.5,100.5313,100.5469
3/15/19,1,99.4453,99.4609
3/31/19,1.5,100.5078,100.5234
3/31/19,1.625,100.7734,100.7891
4/15/19,0.875,99.0938,99.1094
4/30/19,1.25,99.9375,99.9531
4/30/19,1.625,100.7891,100.8047
5/15/19,0.875,99.0469,99.0625
5/15/19,3.125,104.25,104.2656
5/31/19,1.125,99.5938,99.6094
5/31/19,1.5,100.4688,100.4844
6/15/19,0.875,98.9531,98.9688
6/30/19,1,99.2109,99.2266
6/30/19,1.625,100.75,100.7656
7/15/19,0.75,98.5469,98.5625
7/31/19,0.875,98.8281,98.8438
7/31/19,1.625,100.7031,100.7188
8/15/19,0.75,98.4609,98.4766
8/15/19,3.625,105.8359,105.8516
8/15/19,8.125,117.3281,117.3438
8/31/19,1,99.0547,99.0703
8/31/19,1.625,100.6953,100.7109
9/15/19,0.875,98.6875,98.7031
9/30/19,1,98.9453,98.9609
9/30/19,1.75,100.9766,100.9922
10/15/19,1,98.9375,98.9531
10/31/19,1.25,99.5859,99.6016
10/31/19,1.5,100.2422,100.2578
11/15/19,1,98.7969,98.8125
11/15/19,3.375,105.5078,105.5234
11/30/19,1,98.7969,98.8125
11/30/19,1.5,100.2031,100.2188
12/15/19,1.375,99.7578,99.7734
12/31/19,1.125,99.0313,99.0469
12/31/19,1.625,100.5,100.5156
1/31/20,1.25,99.2656,99.2813
1/31/20,1.375,99.6328,99.6484
2/15/20,3.625,106.4141,106.4297
2/15/20,8.5,121.2813,121.2969
2/29/20,1.25,99.1953,99.2109
2/29/20,1.375,99.5234,99.5391
3/31/20,1.125,98.7109,98.7266
3/31/20,1.375,99.4766,99.4922
4/30/20,1.125,98.625,98.6406
4/30/20,1.375,99.3594,99.375
